nama_produk,id_kategori,id_subkategori,kode_produk,harga_produk,stok_barang,tanggal_kedaluwarsa
Mr.P Kacang Atom,KT001,SK027,8992709667290,12000,50,2025-08-10
Buku Tulis,KT004,SK029,8996001600213,5000,100,2025-12-31
Amplop Paperline,KT004,SK029,8996001600214,2000,200,2025-12-31
Spidol Snowman,KT004,SK029,4970129000013,10000,50,2025-12-31
Softex Daun Sirih,KT006,SK030,8998866500340,2000,100,2025-10-15
Softex Classic,KT006,SK030,8996001600215,2000,90,2025-10-15
ABC Kecap Manis,KT007,SK026,8996001600216,15000,60,2025-11-10
Indofood Sambal,KT007,SK026,8996001600217,12000,55,2025-11-15
Kecap ABC Manis,KT007,SK026,8996001600188,15000,40,2025-09-15
Kecap Bango,KT007,SK026,8996001600189,16000,35,2025-09-20
Saus Sambal ABC,KT007,SK026,8996001600190,12000,45,2025-09-25
Mr.P Chili Cashew Nuts,KT001,SK027,8992709548360,45000,30,2025-10-10
Mr.P Roasted Cashew Nuts,KT001,SK027,8992709728809,45000,25,2025-10-15
Mr.P Chili Roasted Peanut,KT001,SK027,8992709838805,20000,35,2025-10-20
Mr.P Kacang Atom,KT001,SK027,8992709667290,12000,40,2025-10-25
Mr.P Mix Nut,KT001,SK027,8992709416249,30000,30,2025-10-30
Khong Guan Saltcheese,KT001,SK028,8888166607392,12000,40,2025-11-10
Nissin Crispy Crackers,KT001,SK028,8888166336568,13000,35,2025-11-15
Good Time Classic,KT001,SK028,8886015201111,10000,45,2025-11-20
Roma Sari Gandum,KT001,SK028,8996001302248,8000,50,2025-11-25
Gery Salut Matcha Latte,KT001,SK028,8992775305164,8000,40,2025-11-30
Nota 2PLY,KT008,SK029,N2P,7000,50,2025-12-31
Amplop Paperline 104,KT008,SK029,AP104,1000,100,2025-12-31
Amplop Paperline 110,KT008,SK029,AP110,2000,95,2025-12-31
Amplop Paperline 90,KT008,SK029,AP90,2500,80,2025-12-31
Maxi Protex Soft Care,KT009,SK030,8998866500340,2000,50,2025-12-31
Pantene Long Black 75ml,KT009,SK030,4902430414944,18000,35,2025-12-31
Pantene Perawatan Rambut 75ml,KT009,SK030,4902430399418,18000,40,2025-12-31
Pantene Menutrisi Rambut 70ml,KT009,SK030,4902430538572,18000,45,2025-12-31
Biore Active Antibacterial,KT009,SK030,8992727000543,15000,30,2025-12-31
Biore Lively Refresh,KT009,SK030,8992727003858,15000,35,2025-12-31
Nivea Invisible,KT009,SK030,8999777006259,20000,25,2025-12-31
Nivea Whitening Happy Shave,KT009,SK030,8999777007430,55000,20,2025-12-31
Nivea Black & White,KT009,SK030,8999777004354,25000,30,2025-12-31
Nivea Black & White Man,KT009,SK030,8999777004552,25000,35,2025-12-31
Ichitan Thai Milk Coffee,KT002,SK011,8997218380128,9000,74,2025-09-15
Ichitan Thai Green Tea,KT002,SK012,8997218380135,9000,41,2025-09-15
Good Mood Jeruk,KT002,SK023,8992775709047,5000,20,2025-08-20
Chocolatos Sweet Cheese,KT001,SK004,8992775000274,3000,62,2025-07-15
Chocolatos Botol,KT001,SK004,8992775001073,7000,6,2025-07-15
Tissue Tessa 250 Sheet,KT005,SK031,8992931005228,20000,18,2025-12-31
Lifebuoy Kasturi Musk,KT006,SK020,8999999524791,5000,7,2025-10-20
Nescafe Cream,KT002,SK011,8992696419742,5000,31,2025-07-20
Nescafe Vanila,KT002,SK011,8992696422650,5000,27,2025-07-20
Chocolatos Kotak,KT001,SK004,8992775002155,5000,8,2025-07-15
Baygon Silky Lavender,KT005,SK032,8998899001470,50000,11,2025-12-31
Baygon Orange Blossom,KT005,SK032,8998899400327,25000,6,2025-12-31
Autan All Night,KT005,SK032,8998899400228,15000,6,2025-12-31
Hilo Teen,KT002,SK010,749921030085,7000,2,2025-06-15
Magnum Double Coklat,KT001,SK005,8690637922589,20000,0,2025-08-10
Nivea Dry Impact,KT006,SK033,8999777007270,25000,2,2025-10-15
Nivea Deep Black Charcoal,KT006,SK033,8999777010638,25000,2,2025-10-15
Nivea Whitening Antibakteri,KT006,SK033,8999777014209,25000,3,2025-10-15
Good Day Avocado,KT002,SK011,8991002121065,8000,130,2025-07-15
Cafemio Capucino,KT002,SK011,90169533,27000,8,2025-07-15
Happy Day Apple,KT002,SK023,90087011,50000,3,2025-08-15
Lampu Philips 11W,KT005,SK034,8718291777380,30000,2,2025-12-31
Matoh Balado 75G,KT001,SK025,8997204340181,18000,46,2025-06-15
Silverqueen Almond Milk Choco,KT001,SK005,8991001111296,10000,13,2025-08-10
Pepsodent 120g,KT006,SK035,8999999706173,12000,8,2025-12-15
Woods Cherry 15G,KT001,SK036,8992858687408,7000,1,2025-07-10
Nivea Soft Care,KT006,SK033,8999777009229,10000,3,2025-10-15
Gery Bantal,KT001,SK004,8992775318201,2500,33,2025-07-15
Strepsil Sugar Free,KT006,SK037,8993560151041,15000,12,2025-11-20
So Klin Violet Blossom 750ML,KT005,SK038,8998866803649,20000,6,2025-12-31
Ichitan Thai Milk Tea,KT002,SK012,8997218380128,9000,74,2025-09-15
Frozz,KT001,SK036,8998685186305,10000,5,2025-07-10
Ultra Milk Low Fat,KT002,SK010,8996001600400,8000,45,2025-06-15
Teh Kotak Blackcurrant,KT002,SK012,8998009040290,5000,62,2025-08-15
Tissue Tessa Serbet 50 Sheet,KT005,SK031,8992931007109,20000,0,2025-12-31
Selection Facial Cotton 75GR,KT006,SK039,8991038111757,15000,0,2025-12-31
Dettol Body Wash Fresh,KT006,SK020,8993560027216,25000,45,2025-10-15
Dettol Body Wash Cool,KT006,SK020,8993560027223,25000,40,2025-10-15
Dettol Hand Wash Original,KT006,SK020,8993560027230,15000,50,2025-10-15
Dove Shampoo Hair Fall,KT006,SK021,8999999037222,32000,25,2025-11-15
Dove Shampoo Damage Care,KT006,SK021,8999999037239,32000,30,2025-11-15
Head & Shoulders Cool Menthol,KT006,SK021,8999999037246,30000,35,2025-11-15
Rejoice Rich Shampoo,KT006,SK021,8999999037253,25000,40,2025-11-15
Gatsby Hair Gel,KT006,SK021,8992222051262,15000,30,2025-11-15
Rexona Men Invisible Dry,KT006,SK033,8999999037260,18000,25,2025-10-15
Rexona Women Powder Dry,KT006,SK033,8999999037277,18000,30,2025-10-15
Ponds Face Powder,KT006,SK019,8999999037284,25000,20,2025-09-15
Ponds BB Cream,KT006,SK019,8999999037291,35000,15,2025-09-15
Garnier Light Complete,KT006,SK019,8999999037307,30000,25,2025-09-15
Biore Face Wash,KT006,SK019,8999999037314,20000,35,2025-09-15
Biore Body Foam,KT006,SK020,8999999037321,22000,30,2025-10-15
Listerine Cool Mint,KT006,SK035,8999999037338,25000,20,2025-12-15
Listerine Fresh Burst,KT006,SK035,8999999037345,25000,25,2025-12-15
Close Up Red Hot,KT006,SK035,8999999037352,15000,40,2025-12-15
Formula Toothpaste,KT006,SK035,8999999037369,12000,45,2025-12-15
Sensodyne Fresh Mint,KT006,SK035,8999999037376,35000,20,2025-12-15
Pocari Sweat,KT002,SK023,8999999037383,7000,100,2025-08-15
Mizone Active,KT002,SK023,8999999037390,6000,90,2025-08-15
You C1000 Orange,KT002,SK023,8999999037406,10000,80,2025-08-15
Hydro Coco,KT002,SK023,8999999037413,8000,85,2025-08-15
Red Bull,KT002,SK023,8999999037420,12000,70,2025-08-15
Kratingdaeng,KT002,SK023,8999999037437,6000,95,2025-08-15
Extra Joss,KT002,SK023,8999999037444,5000,120,2025-08-15
M-150,KT002,SK023,8999999037451,6000,100,2025-08-15
Nescafe Gold,KT002,SK011,8999999037468,45000,30,2025-07-15
ABC Kopi Susu,KT002,SK011,8999999037475,12000,50,2025-07-15
Torabika Cappuccino,KT002,SK011,8999999037482,12000,55,2025-07-15
Indocafe Coffemix,KT002,SK011,8999999037499,12000,45,2025-07-15
Luwak White Koffie,KT002,SK011,8999999037505,13000,40,2025-07-15
ABC Mocca,KT002,SK011,8999999037512,12000,35,2025-07-15
Ultra Milk Chocolate,KT002,SK010,8999999037529,7000,80,2025-06-15
Ultra Milk Strawberry,KT002,SK010,8999999037536,7000,75,2025-06-15
Greenfields Full Cream,KT002,SK010,8999999037543,16000,40,2025-06-15
Greenfields Chocolate,KT002,SK010,8999999037550,16000,35,2025-06-15
Diamond UHT Full Cream,KT002,SK010,8999999037567,15000,45,2025-06-15
Indomie Goreng Rendang,KT001,SK006,8999999037574,3500,200,2025-05-15
Indomie Goreng Aceh,KT001,SK006,8999999037581,3500,180,2025-05-15
Indomie Soto,KT001,SK006,8999999037598,3000,190,2025-05-15
Mie Sedaap Korean Spicy,KT001,SK006,8999999037604,3500,170,2025-05-15
Mie Sedaap Soto,KT001,SK006,8999999037611,3000,185,2025-05-15
Sarimi Isi 2 Ayam Kecap,KT001,SK006,8999999037628,3500,160,2025-05-15
Super Bubur Ayam,KT001,SK006,8999999037635,3000,100,2025-05-15
Qtela Singkong Original,KT001,SK025,8999999037642,8000,60,2025-06-10
Qtela Tempe,KT001,SK025,8999999037659,8000,55,2025-06-10
Chitato Sapi Panggang,KT001,SK025,8999999037666,10000,50,2025-06-10
Chitato Rumput Laut,KT001,SK025,8999999037673,10000,45,2025-06-10
Lays Rumput Laut,KT001,SK025,8999999037680,9500,40,2025-06-10
Lays Salt & Pepper,KT001,SK025,8999999037697,9500,35,2025-06-10
Taro Net Pizza,KT001,SK025,8999999037703,9000,55,2025-06-10
Cheetos Jagung Bakar,KT001,SK025,8999999037710,9000,50,2025-06-10
Roma Kelapa,KT001,SK002,8999999037727,8000,70,2025-04-15
Roma Sandwich Cokelat,KT001,SK002,8999999037734,8000,65,2025-04-15
Biskuat Original,KT001,SK002,8999999037741,7000,80,2025-04-15
Biskuat Cokelat,KT001,SK002,8999999037758,7000,75,2025-04-15
Better Original,KT001,SK002,8999999037765,8500,60,2025-04-15
Better Cokelat,KT001,SK002,8999999037772,8500,55,2025-04-15
Regal Marie,KT001,SK002,8999999037789,10000,50,2025-04-15
Monde Butter Cookies,KT001,SK002,8999999037796,20000,30,2025-04-15
Khong Guan Malkist,KT001,SK002,8999999037802,15000,40,2025-04-15
Arnott's TimTam,KT001,SK002,8999999037819,25000,25,2025-04-15
Pocky Cokelat,KT001,SK004,8999999037826,10000,70,2025-07-15
Pocky Strawberry,KT001,SK004,8999999037833,10000,65,2025-07-15
Pocky Green Tea,KT001,SK004,8999999037840,10000,60,2025-07-15
Hello Panda Cokelat,KT001,SK004,8999999037857,9000,75,2025-07-15
Hello Panda Strawberry,KT001,SK004,8999999037864,9000,70,2025-07-15
Nissin Wafer Cokelat,KT001,SK004,8999999037871,8000,80,2025-07-15
Nissin Wafer Keju,KT001,SK004,8999999037888,8000,75,2025-07-15
Tango Wafer Cokelat,KT001,SK004,8999999037895,9000,70,2025-07-15
Tango Wafer Vanilla,KT001,SK004,8999999037901,9000,65,2025-07-15
Astor Wafer Stick,KT001,SK004,8999999037918,7000,85,2025-07-15
Kit Kat,KT001,SK005,8999999037925,10000,60,2025-08-10
Toblerone Small,KT001,SK005,8999999037932,25000,30,2025-08-10
Cadbury Dairy Milk,KT001,SK005,8999999037949,20000,35,2025-08-10
Beng Beng,KT001,SK005,8999999037956,2500,200,2025-08-10
Top,KT001,SK005,8999999037963,2500,190,2025-08-10
Delfi Treasure,KT001,SK005,8999999037970,1000,300,2025-08-10
Delfi Choco Bar,KT001,SK005,8999999037987,5000,100,2025-08-10
Milo Bar,KT001,SK005,8999999037994,10000,50,2025-08-10
Kinder Joy,KT001,SK005,8999999038007,12000,40,2025-08-10
Choki Choki,KT001,SK005,8999999038014,1500,250,2025-08-10
Teh Sari Wangi,KT002,SK012,8999999038021,8000,100,2025-08-15
Teh Gopek,KT002,SK012,8999999038038,5000,120,2025-08-15
Teh 2 Tang,KT002,SK012,8999999038045,7000,90,2025-08-15
Teh Tongtji,KT002,SK012,8999999038052,6000,110,2025-08-15
Teh Cap Botol,KT002,SK012,8999999038069,4000,150,2025-08-15
Fruit Tea Apple,KT002,SK012,8999999038076,4000,130,2025-08-15
Fruit Tea Blackcurrant,KT002,SK012,8999999038083,4000,125,2025-08-15
Fruit Tea Guava,KT002,SK012,8999999038090,4000,120,2025-08-15
Nu Green Tea Original,KT002,SK012,8999999038106,4500,110,2025-08-15
Nu Green Tea Honey,KT002,SK012,8999999038113,4500,105,2025-08-15
Molto Pewangi Blue,KT005,SK038,8999999038120,15000,50,2025-12-31
Molto Pewangi Pink,KT005,SK038,8999999038137,15000,45,2025-12-31
Downy Mystique,KT005,SK038,8999999038144,20000,40,2025-12-31
Downy Sunrise,KT005,SK038,8999999038151,20000,35,2025-12-31
Rinso Cair,KT005,SK038,8999999038168,18000,60,2025-12-31
Daia Deterjen,KT005,SK038,8999999038175,15000,70,2025-12-31
Attack Easy,KT005,SK038,8999999038182,17000,55,2025-12-31
Vanish Pink,KT005,SK038,8999999038199,25000,30,2025-12-31
Bayclin,KT005,SK038,8999999038205,10000,80,2025-12-31
Wipol Karbol,KT005,SK038,8999999038212,15000,65,2025-12-31
